step,vehicle,speed,x,y,wait_time,edge
0,veh0,0.0,4.690819274055618,297.42979306995505,0.0,AtoJ
1,veh0,0.9189234540099278,5.591872238799658,297.24957471566455,0.0,AtoJ
2,veh0,1.4347704368410632,6.998740406329069,296.9681889639092,0.0,AtoJ
2,veh1,0.0,255.1,198.4,0.0,BtoJ
3,veh0,2.1220902502536774,9.079561940594576,296.5520067336181,0.0,AtoJ
3,veh1,0.6782731825951487,255.77827318259514,198.4,0.0,BtoJ
4,veh0,2.92764025751967,11.950267789085855,295.9778408367064,0.0,AtoJ
4,veh1,1.630918591748923,257.4091917743441,198.4,0.0,BtoJ
4,veh2,0.0,354.34,3.12,0.0,CtoJ
5,veh0,3.5097865777788684,15.391798841238458,295.2895049821822,0.0,AtoJ
5,veh1,2.3833060819888487,259.79249785633294,198.4,0.0,BtoJ
5,veh2,0.76663638651371,354.7999818319082,3.7333091092109676,0.0,CtoJ
6,veh0,4.492611712310463,19.79704182982085,294.40841843930883,0.0,AtoJ
6,veh1,3.318968472420238,263.1114663287532,198.4,0.0,BtoJ
6,veh2,1.3183547600638121,355.5909946879465,4.7879929172620175,0.0,CtoJ
6,veh3,0.0,302.4763294442167,395.26367055578334,0.0,DtoJ
7,veh0,4.995890126447193,24.69577587597796,293.4286294341685,0.0,AtoJ
7,veh1,3.8650488964049146,266.9765152251581,198.4,0.0,BtoJ
7,veh2,2.253314372850582,356.94298331165686,6.590644415542482,0.0,CtoJ
7,veh3,0.5017811198486015,302.83115062599353,394.9088493740065,0.0,DtoJ
8,veh0,5.94231455004774,30.52252903958186,292.2632286119205,0.0,AtoJ
8,veh1,4.40918269357644,271.38569791873454,198.4,0.0,BtoJ
8,veh2,3.0242530897958204,358.7575351655343,9.01004688737914,0.0,CtoJ
8,veh3,1.1393778881756589,303.6368314154479,394.1031685845521,0.0,DtoJ
9,veh0,6.669556913198903,37.0623817378046,290.9552017403693,0.0,AtoJ
9,veh1,4.985726506682113,276.37142442541665,198.4,0.0,BtoJ
9,veh2,3.9126951155485585,361.10515223486345,12.140202979817989,0.0,CtoJ
9,veh3,1.8964653447037563,304.9778664767306,392.7621335232694,0.0,DtoJ
10,veh0,7.330727379070595,44.25054698684448,289.5175067743268,0.0,AtoJ
10,veh1,5.934860228328034,282.3062846537447,198.4,0.0,BtoJ
10,veh2,4.562458780128509,363.84262750294056,15.790170003920796,0.0,CtoJ
10,veh3,2.629724673461169,306.83740638262975,390.90259361737026,0.0,DtoJ
11,veh0,8.167626251000911,52.259335767097035,287.9156800334899,0.0,AtoJ
11,veh1,6.64097752282396,288.94726217656864,198.4,0.0,BtoJ
11,veh2,5.444444287917577,367.10929407569114,20.145725434254857,0.0,CtoJ
11,veh3,3.5789983248105273,309.3681999197996,388.3718000802004,0.0,DtoJ
12,veh0,8.937164139817469,61.022697078037794,286.1629322869027,0.0,AtoJ
12,veh1,7.639706655172631,296.5869688317413,198.4,0.0,BtoJ
12,veh2,6.180477267131209,370.81758043596983,25.090107247959825,0.0,CtoJ
12,veh3,4.172700876370072,312.31881443594904,385.421185564051,0.0,DtoJ
13,veh0,9.490087506943382,70.32822894415483,284.3017457592207,0.0,AtoJ
13,veh1,8.482588685583323,305.0695575173246,198.4,0.0,BtoJ
13,veh2,6.79114457173273,374.8922671790095,30.523022905346007,0.0,CtoJ
13,veh3,5.028381136013195,315.8745005040957,381.8654994959043,0.0,DtoJ
14,veh0,10.478787369676866,80.6032332278824,282.2466563973347,0.0,AtoJ
14,veh1,9.096734981401823,314.1662924987264,198.4,0.0,BtoJ
14,veh2,7.62645469722338,379.46813999734354,36.62418666312471,0.0,CtoJ
14,veh3,5.651527258451097,319.8708277897712,377.8691722102288,0.0,DtoJ
15,veh0,11.242700874689035,91.62729503701709,280.0417490782589,0.0,AtoJ
15,veh1,9.719375741085969,323.8856682398124,198.4,0.0,BtoJ
15,veh2,8.512514063739218,384.575648435587,43.43419791411609,0.0,CtoJ
15,veh3,6.5311983490828425,324.48919110591174,373.25080889408827,0.0,DtoJ
16,veh0,11.997646743780933,103.39162113105833,277.6887825258351,0.0,AtoJ
16,veh1,10.375959928845987,334.2616281686584,198.4,0.0,BtoJ
16,veh2,9.446283897268586,390.2434187739482,50.99122503193095,0.0,CtoJ
16,veh3,7.459996988065541,329.7643296925447,367.9756703074553,0.0,DtoJ
17,veh0,12.979850126546808,116.1190495010953,275.14318722240034,0.0,AtoJ
17,veh1,11.243258470552973,345.50488663921135,198.4,0.0,BtoJ
17,veh2,9.97914428729564,396.2309053463256,58.97454046176746,0.0,CtoJ
17,veh3,8.453221505274996,335.7418005970464,361.99819940295356,0.0,DtoJ
18,veh0,13.544602919137105,129.40024780255624,272.48683316270854,0.0,AtoJ
18,veh1,11.768832196947187,357.27371883615854,198.4,0.0,BtoJ
18,veh2,10.869801466935314,402.75278622648676,67.6703816353157,0.0,CtoJ
18,veh3,9.257120501250029,342.28772730926596,355.45227269073405,0.0,DtoJ
19,veh0,14.513046543579549,143.63105621047757,269.6405489021294,0.0,AtoJ
19,veh1,12.494667771738023,369.76838660789656,198.4,0.0,BtoJ
19,veh2,11.508277227869257,409.6577525632083,76.87700341761114,0.0,CtoJ
19,veh3,9.94694269716274,349.32144345215096,348.41855654784905,0.0,DtoJ
20,veh0,14.490776287015406,157.8400274559942,266.79863226212854,0.0,AtoJ
20,veh1,12.831063787975605,382.59945039587217,198.4,0.0,BtoJ
20,veh2,12.072590697207488,416.9013069815328,86.53507597537713,0.0,CtoJ
